"Prevalence","Temperature","Our Prediction","Nguyen's Prediction"
0.01,25.5,0.999975629310931,0.541454255446147
0.01,25.5,0.999975629310931,0.541454255446147
0,25.7000007629395,0.999244295139333,0.506575708672158
0.005,20.2999992370605,0.719805492321835,0.917533035261917
0.005,20.2999992370605,0.719805492321835,0.917533035261917
0.01,25.5777966239815,0.999812066887056,0.5278255768115
0,20.2999992370605,0.719805492321835,0.917533035261917
0.034,20.2999992370605,0.719805492321835,0.917533035261917
0,25.6000003814697,0.99973715704005,0.523949277823844
0,25.6000003814697,0.99973715704005,0.523949277823844
0.074,20.2999992370605,0.719805492321835,0.917533035261917
0.106,20.2999992370605,0.719805492321835,0.917533035261917
0,20.2999992370605,0.719805492321835,0.917533035261917
0.114,20.2999992370605,0.719805492321835,0.917533035261917
0.285,20.2999992370605,0.719805492321835,0.917533035261917
0,25.6338903271097,0.999598638821181,0.518045414948893
