"sch_mansoni.percent_pos","sch_mansoni.bio01"
14,22
76.3,22.1
3.1,22.1
6.7,22.1
10,22.09051
10,22.09051
10.5,22.09049
1.7,22
8,21.9
8,21.9
2.3,22.1
3.9,22.1
10.1,22.8
3.8,22.16134
3.8,22.16134
1.6,22
26.7,22.9
44.1,22.9
11.8,22.8
1.4,22.8
1.7,22
0.8,22.2
1.5,22.62293
1.5,22.62293
1.5,23.2
3,22.9
2.15054,22.7
1.5625,22.7
1.49254,22.7
1.23457,22.7
1.23457,22.7
1.51515,22.7
2.04082,22.7
2.04082,22.7
6.66667,22.7
7.69231,22.7
6.66667,22.7
10.5263,22.7
10.5263,22.7
7.69231,22.7
3.0303,22.7
3.0303,22.7
25,22.7
10,22.7
6.25,22.7
6.25,22.7
3.44828,22.7
7.14286,22.7
7.14286,22.7
11.1111,22.7
14.2857,22.7
14.2857,22.7
4.54545,22.7
1.9,22.76614
7,23.94745
3.7,22.49683
3.7,22.49683
4.4,24.3
1.6,22.4
1.4,22.2
1.4,22.2
1.4,22.2
12.9,22.88576
14.3,22.88576
10.8,21.90316
7.4,23.1
15.3,21.44613
75,25
82.6,25
76.6,25
80.9,25
61.5,25
75,25
75,25
82.6,25
76.6,25
80.9,25
61.5,25
61.5,25
75,25
82.6,25
76.6,25
80.9,25
80.9,25
61.5,25
15,21.9
58.8,25.05211
62.5,25.05211
63.2,25.05211
61.5,25.05211
61.5,25.05211
66.7,25.05211
58.8,25.05211
62.5,25.05211
63.2,25.05211
63.2,25.05211
61.5,25.05211
66.7,25.05211
58.8,25.05211
62.5,25.05211
62.5,25.05211
63.2,25.05211
61.5,25.05211
66.7,25.05211
58.8,25.00035
75,25.00035
73.3,25.00035
73.3,25.00035
77.8,25.00035
75,25.00035
58.8,25.00035
75,25.00035
75,25.00035
73.3,25.00035
77.8,25.00035
75,25.00035
58.8,25.00035
58.8,25.00035
75,25.00035
73.3,25.00035
77.8,25.00035
75,25.00035
75,25.00035
67.6,24.98289
83.3,24.98289
92.3,24.19279
92.3,24.19279
3,22.82074
3,22.82074
3,22.82074
3.3,22.8
6,22.9
95,25.4
81.7,25.4
10,22.9
3.3,22.9
10.3,23.2
