"Longitude","Latitude","MAT","Epsilon","MPB"
10.13720835,35.67977426,19.85,0.433656709958783,41.8669751076248
10.55245998,35.67977426,19.65,0.395676597545911,46.6168555600031
-6.05760529,35.26371774,17.95,0.343426188116695,46.770273434242
-5.64235366,35.26371774,16.55,0.412745167215618,42.2333805395332
-5.22710203,35.26371774,15.55,0.439288264785757,37.3771490673118
-3.5660955,35.26371774,17.35,0.326494279317113,42.0075629677664
-2.73559224,35.26371774,18.35,0.323834110615085,48.0136589528584
-1.48983735,35.26371774,18.35,0.348046006735839,48.9121915348876
-1.07458571,35.26371774,18.2500000000001,0.416900659265543,49.152975681665
-0.65933408,35.26371774,17.85,0.460466859136861,48.2364831071241
-0.24408245,35.26371774,17.55,0.490489213258224,47.6309999776813
0.17116918,35.26371774,16.65,0.550357120717814,46.6617029690691
