"Longitude","Latitude","MAT","R_not","Rate_of_increase"
9.72195671,35.67977426,19.05,1.47263264543284,0.324928814299241
10.13720835,35.67977426,19.85,1.74220955242503,0.347644919074241
10.55245998,35.67977426,19.65,1.67315732528479,0.342735476777101
-6.05760529,35.26371774,17.95,1.13712982744236,0.283588182270478
-5.64235366,35.26371774,16.55,0.781745304392587,0.223562282103407
-5.22710203,35.26371774,15.55,0.579630009516081,0.181052835640516
-3.5660955,35.26371774,17.35,0.974506181361517,0.258285822479776
-2.73559224,35.26371774,18.35,1.25380072992513,0.299601253417325
-1.48983735,35.26371774,18.35,1.25380072992513,0.299601253417325
-1.07458571,35.26371774,18.2500000000001,1.22403496430765,0.295682920703481
-0.65933408,35.26371774,17.85,1.10897637726409,0.279459171637075
-0.24408245,35.26371774,17.55,1.02702150355692,0.266843533602845
0.17116918,35.26371774,16.65,0.804318625560391,0.227907663907789
